productName,description,categoryId,price,productStatus
청도 아삭한 오이,신선한 청도산 오이로 아삭한 식감이 일품입니다.,7d4b5c6d-7e8f-4c8c-d7a1-77b8c9d0e1f2,7800,ON_SALE
고당도 해남 고구마,해남에서 자란 달달한 고구마로 깊은 풍미가 느껴집니다.,390d1e2f-3a4b-4e4e-f3c7-33d4e5f6a7b8,12000,ON_SALE
밀양 특·상급 쪽파,엄선된 밀양의 쪽파로 향긋함이 가득합니다.,7d4b5c6d-7e8f-4c8c-d7a1-77b8c9d0e1f2,6500,ON_SALE
제주 햇출하 무,신선한 제주산 무로 아삭한 식감이 매력적입니다.,390d1e2f-3a4b-4e4e-f3c7-33d4e5f6a7b8,4500,ON_SALE
완도 산지 선별 배추,완도에서 직접 선별한 배추로 신선함이 가득합니다.,e45e6f7a-8b9c-49f9-a8d2-88e9f0a1b2c3,9000,ON_SALE
고창 아삭한 청경채,신선한 청경채에 대한 상세 설명입니다.,067a8b9c-0d1e-4b1b-c0f4-00a1b2c3d4e5,15800,ON_SALE
햇출하 쫀득한 수세미 호박,자연 그대로의 수세미 호박에 대한 상세 설명입니다.,7d4b5c6d-7e8f-4c8c-d7a1-77b8c9d0e1f2,21000,ON_SALE
제주 특·상급 무,신선한 제주산 무에 대한 상세 설명입니다.,390d1e2f-3a4b-4e4e-f3c7-33d4e5f6a7b8,12500,ON_SALE
밀양 고당도 방울토마토,달콤한 방울토마토에 대한 상세 설명입니다.,7d4b5c6d-7e8f-4c8c-d7a1-77b8c9d0e1f2,18000,ON_SALE
완도 엄선한 파프리카,신선한 파프리카에 대한 상세 설명입니다.,067a8b9c-0d1e-4b1b-c0f4-00a1b2c3d4e5,22000,ON_SALE
특·상급 완도 전복,신선한 바다의 맛을 담은 전복입니다.,7d4b5c6d-7e8f-4c8c-d7a1-77b8c9d0e1f2,35000,ON_SALE
고창 아삭한 배추,아삭한 식감과 신선함을 자랑하는 배추입니다.,e45e6f7a-8b9c-49f9-a8d2-88e9f0a1b2c3,12000,ON_SALE
밀양 엄선된 한우,부드럽고 진한 풍미의 한우입니다.,9f6d7e8f-9a0b-4e0e-f9c3-99d0e1f2a3b4,85000,ON_SALE
햇출하 성주 참외,달달하고 아삭한 성주 참외입니다.,d34d5e6f-7a8b-48e8-f7c1-77d8e9f0a1b2,18000,ON_SALE
청도 특·상급 포도,풍부한 당도를 자랑하는 청도 포도입니다.,d34d5e6f-7a8b-48e8-f7c1-77d8e9f0a1b2,22000,ON_SALE
제주산 엄선한 고등어,신선한 제주산 고등어에 대한 상세 설명입니다.,7d4b5c6d-7e8f-4c8c-d7a1-77b8c9d0e1f2,19850,ON_SALE
산지 선별 특·상급 한우,엄선된 한우의 품질에 대한 상세 설명입니다.,9f6d7e8f-9a0b-4e0e-f9c3-99d0e1f2a3b4,52800,ON_SALE
신선한 동해안 오징어,동해에서 잡은 신선한 오징어에 대한 상세 설명입니다.,7d4b5c6d-7e8f-4c8c-d7a1-77b8c9d0e1f2,17400,ON_SALE
달콤한 제주산 흑돼지,제주 흑돼지의 풍미에 대한 상세 설명입니다.,9f6d7e8f-9a0b-4e0e-f9c3-99d0e1f2a3b4,47500,ON_SALE
고창산 아삭한 무,아삭한 식감의 고창산 무에 대한 상세 설명입니다.,390d1e2f-3a4b-4e4e-f3c7-33d4e5f6a7b8,8500,ON_SALE
아삭한 해남 청경채,신선한 해남 청경채에 대한 상세 설명입니다.,067a8b9c-0d1e-4b1b-c0f4-00a1b2c3d4e5,15800,ON_SALE
특·상급 성주 고구마,고소한 맛이 일품인 성주 고구마에 대한 상세 설명입니다.,390d1e2f-3a4b-4e4e-f3c7-33d4e5f6a7b8,12000,ON_SALE
고당도 논산 배추,신선하고 달콤한 논산 배추에 대한 상세 설명입니다.,e45e6f7a-8b9c-49f9-a8d2-88e9f0a1b2c3,9500,ON_SALE
엄선된 제주 애호박,부드러운 식감의 제주 애호박에 대한 상세 설명입니다.,7d4b5c6d-7e8f-4c8c-d7a1-77b8c9d0e1f2,8900,ON_SALE
쫀득한 태안 무,아삭하고 쫀득한 태안 무에 대한 상세 설명입니다.,390d1e2f-3a4b-4e4e-f3c7-33d4e5f6a7b8,6500,ON_SALE
엄선된 제주 천혜향,제주에서 자란 신선한 천혜향의 풍부한 과즙을 즐겨보세요.,d34d5e6f-7a8b-48e8-f7c1-77d8e9f0a1b2,26900,ON_SALE
특급 아삭한 영주 사과,영주에서 자생한 과즙이 풍부한 사과로 상큼한 맛을 선사합니다.,e45e6f7a-8b9c-49f9-a8d2-88e9f0a1b2c3,32000,ON_SALE
고당도 밀양 복숭아,밀양에서 자란 달콤하고 신선한 복숭아를 만나보세요.,d34d5e6f-7a8b-48e8-f7c1-77d8e9f0a1b2,29500,ON_SALE
산지 선별 고창 수박,고창의 햇수박으로 여름의 시원함을 가득 담았습니다.,d34d5e6f-7a8b-48e8-f7c1-77d8e9f0a1b2,24800,ON_SALE
신선한 해남 참외,해남에서 조심스럽게 재배된 달고 아삭한 참외를 경험해보세요.,d34d5e6f-7a8b-48e8-f7c1-77d8e9f0a1b2,21500,ON_SALE
햇출하 아삭한 청상추,신선한 청상추에 대한 상세 설명입니다.,067a8b9c-0d1e-4b1b-c0f4-00a1b2c3d4e5,15800,ON_SALE
제주산 특·상급 방울토마토,신선한 방울토마토에 대한 상세 설명입니다.,7d4b5c6d-7e8f-4c8c-d7a1-77b8c9d0e1f2,22000,ON_SALE
고창산 고당도 생양파,달콤한 생양파에 대한 상세 설명입니다.,067a8b9c-0d1e-4b1b-c0f4-00a1b2c3d4e5,13450,ON_SALE
신선한 산지 선별 무,산지에서 직송된 무에 대한 상세 설명입니다.,390d1e2f-3a4b-4e4e-f3c7-33d4e5f6a7b8,8500,ON_SALE
밀양산 쫀득한 가지,신선한 가지에 대한 상세 설명입니다.,7d4b5c6d-7e8f-4c8c-d7a1-77b8c9d0e1f2,14200,ON_SALE
아삭한 청도 오이,신선하고 아삭한 식감의 청도산 오이입니다.,7d4b5c6d-7e8f-4c8c-d7a1-77b8c9d0e1f2,12000,ON_SALE
엄선된 영주 배추,"영주에서 자란 특·상급 배추로, 신선함이 뛰어납니다.",e45e6f7a-8b9c-49f9-a8d2-88e9f0a1b2c3,15000,ON_SALE
달달한 제주 고구마,제주에서 자생한 달달한 맛의 고구마입니다.,390d1e2f-3a4b-4e4e-f3c7-33d4e5f6a7b8,18000,ON_SALE
특선 완도 미역,완도에서 자연 그대로 자란 특선 미역입니다.,067a8b9c-0d1e-4b1b-c0f4-00a1b2c3d4e5,25000,ON_SALE
햇출하 대파,"신선한 대파로, 다양한 요리에 활용하기 좋은 제품입니다.",067a8b9c-0d1e-4b1b-c0f4-00a1b2c3d4e5,9500,ON_SALE
제주산 달달한 한라봉,과일류 한라봉에 대한 상세 설명입니다.,d34d5e6f-7a8b-48e8-f7c1-77d8e9f0a1b2,28900,ON_SALE
고창 자생 모과,신선하고 향긋한 모과에 대한 상세 설명입니다.,7d4b5c6d-7e8f-4c8c-d7a1-77b8c9d0e1f2,17500,ON_SALE
엄선된 샤인머스캣,프리미엄 품질의 샤인머스캣에 대한 상세 설명입니다.,d34d5e6f-7a8b-48e8-f7c1-77d8e9f0a1b2,45900,ON_SALE
전라북도 특·상급 복숭아,아삭한 식감의 복숭아에 대한 상세 설명입니다.,d34d5e6f-7a8b-48e8-f7c1-77d8e9f0a1b2,32000,ON_SALE
해남산 고당도 느타리버섯,신선하고 쫀득한 느타리버섯에 대한 상세 설명입니다.,067a8b9c-0d1e-4b1b-c0f4-00a1b2c3d4e5,22000,ON_SALE
아삭한 청도 대파,신선한 청도에서 자란 아삭한 대파의 상세 설명입니다.,067a8b9c-0d1e-4b1b-c0f4-00a1b2c3d4e5,18200,ON_SALE
특·상급 해남 고구마,해남에서 자란 특·상급 고구마의 상세 설명입니다.,390d1e2f-3a4b-4e4e-f3c7-33d4e5f6a7b8,14500,ON_SALE
고당도 밀양 배추,"밀양의 햇배추로, 고당도의 풍미를 자랑합니다.",e45e6f7a-8b9c-49f9-a8d2-88e9f0a1b2c3,9800,ON_SALE
엄선된 제주 감자,제주에서 엄선된 신선한 감자의 상세 설명입니다.,390d1e2f-3a4b-4e4e-f3c7-33d4e5f6a7b8,12000,ON_SALE
쫀득한 성주 참외,성주에서 수확한 쫀득한 참외의 상세 설명입니다.,d34d5e6f-7a8b-48e8-f7c1-77d8e9f0a1b2,22000,ON_SALE
